degree_id,degree_name,degree_code,created_at
354,Certificate II in Building and Construction Pre-apprenticeship,22614VIC,2026-02-22 11:50:04.268711+00
355,Certificate IV in Engineering,MEM40119,2026-02-22 11:50:04.268711+00
356,Mental Health First Aid Short Course,NC-HEAS01,2026-02-22 11:50:04.268711+00
357,Master of Cyber Security,MA-CYBSEC,2026-02-22 11:50:04.268711+00
358,Critical Thinking and Problem Solving for Local Government,CRITTIS,2026-02-22 11:50:04.268711+00
359,Finance for Non-Finance Managers - Understanding Numbers and Business Impact,FFFMIS,2026-02-22 11:50:04.268711+00
361,Empowering Women in the Workplace,WINFIS,2026-02-22 11:50:04.268711+00
362,Certificate IV in Plumbing and Services,CPC40920,2026-02-22 11:50:04.268711+00
363,Certificate IV in Mental Health Peer Work,CHC43515,2026-02-22 11:50:04.268711+00
364,Bachelor of Accounting,BA-ACCS,2026-02-22 11:50:04.268711+00
365,Bachelor of Laws/Bachelor of Media and Communication,BB-LAWMCM,2026-02-22 11:50:04.268711+00
366,Undergraduate Certificate of Criminal Justice and Criminology,CU-CRIJUSS,2026-02-22 11:50:04.268711+00
367,Swinburne Foundation Program,SF-SFP,2026-02-22 11:50:04.268711+00
368,Certificate I in EAL,Access,2026-02-22 11:50:04.268711+00
370,Graduate Certificate of Information Technology,GC-IT1,2026-02-22 11:50:04.268711+00
371,Bachelor of Laws/Bachelor of Computer Science,BB-LAWCS,2026-02-22 11:50:04.268711+00
372,Maths Link General,NN-MLFTH,2026-02-22 11:50:04.268711+00
375,Generative AI for professionals: Your productivity partner,GENAI,2026-02-22 11:50:04.268711+00
376,Bachelor of Aviation Management/Bachelor of Business,BB-AVMBUS3,2026-02-22 11:50:04.268711+00
379,Graduate Certificate of Financial Technologies,GC-FINTEC,2026-02-22 11:50:04.268711+00
381,Hydrogen fundamentals – An emerging frontier in the energy landscape,HYDROFUN,2026-02-22 11:50:04.268711+00
382,Leadership Development Program,DEVLIS,2026-02-22 11:50:04.268711+00
383,Graduate Certificate of Social Impact,GC-SI,2026-02-22 11:50:04.268711+00
384,Certificate IV in Design,CUA40720,2026-02-22 11:50:04.268711+00
385,Master of Forensic Behavioural Science,MA-FBS,2026-02-22 11:50:04.268711+00
390,Bachelor of Games and Interactivity/Bachelor of Computer Science,BB-GAMCS,2026-02-22 11:50:04.268711+00
393,Masterclass: Lead Innovative Thinking and Practice,MCLIT,2026-02-22 11:50:04.268711+00
394,Postgraduate Qualifying Program,NN-PQP,2026-02-22 11:50:04.268711+00
396,Advanced Diploma of Engineering Technology,22479VIC,2026-02-22 11:50:04.268711+00
399,Diploma of Project Management,BSB50820,2026-02-22 11:50:04.268711+00
400,Diploma of Accounting,FNS50222,2026-02-22 11:50:04.268711+00
401,Certificate II in Plumbing,Pre-apprenticeship,2026-02-22 11:50:04.268711+00
402,Certificate III in Engineering - Mechanical Trade,MEM30219,2026-02-22 11:50:04.268711+00
404,Bachelor of Accounting and Business Information Technology,Professional,2026-02-22 11:50:04.268711+00
406,Diploma of Library and Information Services,BSB50520,2026-02-22 11:50:04.268711+00
407,Graduate Diploma in Forensic Psychology,GD-PSYFOR,2026-02-22 11:50:04.268711+00
408,Introduction to Welding,WELTD70W,2026-02-22 11:50:04.268711+00
409,Graduate Diploma in Applied Statistics,GD-APPS,2026-02-22 11:50:04.268711+00
412,Bachelor of Media and Communication/Bachelor of Applied Innovation,BB-MCMAIN,2026-02-22 11:50:04.268711+00
413,Graduate Certificate of Urban Informatics,GC-UI,2026-02-22 11:50:04.268711+00
